Job Title,Experience,Company,Scraped data,Salary,Location,Tags,Posted date
"Interior Designer, Trainer and/or Design Software Sales, Gurugram",0-4 Yrs,"Vinchi Furniture And Interior Pvt Ltd, AiHouseIndia",07/04/2023,2.25-3 Lacs PA,Gurgaon/Gurugram,"['Interior Designing', 'sales', 'modular', 'sales and marketing', 'modular kitchen', 'software design', 'marketing', 'interiors']",1 Day Ago
Architect and Interior Designer,1-4 Yrs,Dattatreya Architects,07/04/2023,2.25-3.5 Lacs PA,Gurgaon/Gurugram,"['Sketchup', 'AutoCAD', 'photoshop', 'design', 'interior designing', 'architecture', 'interiors', 'lumion']",1 Day Ago
Architect - Interior Designer,3-8 Yrs,Magical Nest,07/04/2023,3.5-5 Lacs PA,Bangalore/Bengaluru,"['interior designing', 'AutoCAD 2D', 'architecture', 'autocad', '2d', 'design', 'interiors']",1 Day Ago
Sr. Architect / Sr. Interior Designer,10-20 Yrs,The Woodpeckers,07/04/2023,20-27.5 Lacs PA,Mumbai (All Areas)(Powai),"['interior designing', 'Architectural Design', 'Detail Drawings', 'autocad', 'design architecture', 'corporate interiors', 'interior decoration', 'drawing']",1 Day Ago
BDE (Selling Thru Architects & Interior Designers),0-3 Yrs,Talentleads,07/04/2023,Not disclosed,Mumbai,"['relationship', 'client', 'servicing', 'sales', 'development', 'interiors', 'interior designing', 'bde']",8 Days Ago
Junior Interior Designer,0-1 Yrs,RCPC,07/04/2023,Not disclosed,New Delhi,"['Interior Design', '3d', 'interior designing', 'design', 'sketchup', 'technical', 'autocad', 'interiors']",3 Days Ago
Sr. Interior Designer,3-8 Yrs,Della by Jimmy Mistry,07/04/2023,Not disclosed,Mumbai(Dadar),"['Interior Designing', 'execution', 'sr', 'luxury', 'interiors', 'design']",Few Hours Ago
Senior Interior Designer,2-7 Yrs,VAl Interior Solutions,07/04/2023,4.5-8.5 Lacs PA,Delhi / NCR,"['interior designing', 'senior', 'sketching', 'autocad', 'design', 'interiors']",1 Day Ago
Senior Interior Designer,4-9 Yrs,MB Informatics,07/04/2023,Not disclosed,Gurgaon/Gurugram,"['interior designer', '2d', 'modular', 'modular kitchen', 'senior', 'interiors', 'interior designing', '3d designing']",1 Day Ago
Design Manager Interior,4-6 Yrs,Manpowergroup Services India,07/04/2023,Not disclosed,Greater Noida,"['Project Execution', 'Interior Architecture', 'AutoCAD', 'Design Engineering', 'Interior Designing', 'management', 'project', 'construction']",1 Day Ago
Interior Designer,0-3 Yrs,The Hive Hostels,07/04/2023,Not disclosed,Mumbai,"['Interior Designing', 'design architecture', 'architecture', 'system', 'space management', 'architectural design', 'space planning', 'furniture']",11 Days Ago
Urgent Opening Interior Designer - Corporate/Commercial Only,3-8 Yrs,Integra Office Solutions,07/04/2023,4-6 Lacs PA,Bangalore/Bengaluru(BTM Layout),"['interiors', '3ds max', 'design', 'commercial', 'interior designing', '3d', 'photoshop', 'corporate']",1 Day Ago
Interior Designer,2-3 Yrs,Zaga Urban,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['excel', 'interiors', 'boq preparation', 'pdf', 'autocad', 'interior designing', 'cad', 'photoshop']",1 Day Ago
Interior Designer,0-2 Yrs,Decorpot,07/04/2023,Not disclosed,Chennai,"['Interior Designing', 'modular', 'interiors', 'autocad', 'residential', 'sketchup', 'modular kitchen', 'design']",9 Days Ago
Interior Designer,0-2 Yrs,Decorpot,07/04/2023,Not disclosed,Hyderabad/Secunderabad,"['Interior Designing', 'modular kitchen', 'autocad', 'sketchup', 'residential', 'design', 'interiors', 'modular']",9 Days Ago
Interior Designer,0-2 Yrs,Milestone Job Consultancy Services,07/04/2023,Not disclosed,Ahmedabad,"['interiors', 'tally', 'operating', 'office', 'design', 'interior designing', 'back office', 'Back Office Executive']",8 Days Ago
Walk-In Interview in Axis Bank -Relationship Officer -Udaipur Location,0-5 Yrs,Axis Bank,07/04/2023,Not disclosed,Udaipur,"['Home Loans', 'Credit Card Sales', 'Loan Sales', 'c', 'axis', 'mortgage', 'personal', 'mortgage loans']",5 Days Ago
Axis Bank Hiring Relationship Officer @Guwahati Under Partners Payroll,,Axis Bank,07/04/2023,1.75-2.5 Lacs PA,,"['field sales executive', 'credit', 'credit card sales', 'hiring', 'business development', 'auto loans', 'axis', 'relationship']",2 Days Ago
Urgent Opening - Axis Phone banking Officer,,Axis Bank,07/04/2023,Not disclosed,,"['Customer Service', 'inbound calls', 'inbound customer service', 'phone banking', 'inbound', 'voice', 'voice process', 'telecalling']",1 Day Ago
Bank JOB Interview -  Amritsar Location,0-1 Yrs,Axis Bank,07/04/2023,2-3 Lacs PA,Amritsar,"['sales', 'marketing', 'interviewing']",1 Day Ago
Relationship Manager- Corporate Banking | Fresher - Experience,0-4 Yrs,Next Business Services India,07/04/2023,2-3.5 Lacs PA,"Noida, Gurgaon/Gurugram, Delhi / NCR","['Retail Banking', 'Retail Sales', 'Banking Operations', 'Corporate Banking', 'Branch Banking', 'operations', 'accounting', 'relationship management']",1 Day Ago
Hiring Freshers For Banking operations at Mumbai,0-0 Yrs,Standard Chartered Bank,07/04/2023,Not disclosed,Mumbai (All Areas),"['Banking Operations', 'hiring', 'operations', 'banking operation']",9 Days Ago
Assistant Relationship Manager - Bank,0-3 Yrs,Phenom Placements,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Relationship management', 'bfsi', 'credit', 'assistance', 'sales', 'relationship', 'bfsi sales', 'credit analysis']",2 Days Ago
Walkin Freshers- Banking- US Mortgage skills- 8th April @ Jaipur,,Infosys BPM,07/04/2023,Not disclosed,,"['Banking', 'us mortgage', 'payments', 'processing', 'application', 'mortgage', 'process', 'payment processing']",Just Now
"Relationship officer - Hdfc branch banking - banca assurance
",0-5 Yrs,Aditya Birla Sun Life Insurance (ABSLI),07/04/2023,1-5 Lacs PA,"Bangalore Rural, Bangalore/Bengaluru","['Life Insurance', 'Insurance Sales', 'branch banking', 'cross selling', 'marketing', 'retail banking', 'bancassurance', 'sales and marketing']",1 Day Ago
Relationship officer - Hdfc branch banking - banca assurance,0-4 Yrs,Aditya Birla Sun Life Insurance (ABSLI),07/04/2023,1-6 Lacs PA,"Kochi/Cochin, Ernakulam, Palghat/Palakkad, Thrissur/Trichur, Calicut/Kozhikode, Trivandrum/Thiruvananthapuram","['Life Insurance', 'bancassurance', 'insurance', 'cross sales', 'banca', 'branch banking', 'banca sales', 'bancassurance sales']",1 Day Ago
Relationship Officer | Non Branch Banking,0-5 Yrs,Aditya Birla Sun Life Insurance (ABSLI),07/04/2023,2.5-5 Lacs PA,Lucknow,"['Insurance Sales', 'management', 'branch banking', 'sales', 'insurance', 'generation', 'relationship management', 'communication skills']",1 Day Ago
Relationship Officer | Branch Banking,0-5 Yrs,Aditya Birla Sun Life Insurance (ABSLI),07/04/2023,2.5-5 Lacs PA,Gurgaon/Gurugram,"['Bancassurance', 'relationship', 'life insurance', 'insurance sales', 'insurance', 'branch banking', 'bfsi', 'sales']",1 Day Ago
Relationship Officer | Non Branch Banking,0-5 Yrs,Aditya Birla Sun Life Insurance (ABSLI),07/04/2023,2.5-5 Lacs PA,Delhi / NCR,"['Insurance Sales', 'management', 'branch banking', 'sales', 'insurance', 'generation', 'relationship management', 'communication skills']",1 Day Ago
Relationship Officer | Branch Banking,0-5 Yrs,Aditya Birla Sun Life Insurance (ABSLI),07/04/2023,2.5-5 Lacs PA,Noida,"['Bancassurance', 'insurance', 'bfsi', 'branch banking', 'insurance sales', 'sales', 'relationship', 'life insurance']",1 Day Ago
Relationship Officer | Branch Banking,,Aditya Birla Sun Life Insurance (ABSLI),07/04/2023,2.5-5 Lacs PA,,"['insurance sales', 'bancassurance', 'relationship', 'life insurance', 'insurance', 'branch banking', 'bancassurance sales', 'bfsi']",1 Day Ago
Transaction Processing New Associate-Investment Banking,0-1 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Underwriting', 'Back office', 'Investment banking', 'Capital market', 'Financial services', 'transaction processing', 'process', 'processing']",2 Days Ago
Banking Customer Support-Inbound Voice process||bangalore||,0-0 Yrs,Teleperformance (TP),07/04/2023,1-1.5 Lacs PA,Bangalore/Bengaluru(Kundalahalli +2),"['voice process', 'tamil', 'inbound process', 'customer support', 'process', 'banking voice', 'voice', 'english']",1 Day Ago
Tech Mahindra Hiring For Banking Customer Service - Goregaon Location,,Tech Mahindra,07/04/2023,2-2.5 Lacs PA,,"['communication skills', 'hiring', 'customer service', 'inbound', 'process', 'voice', 'voice process', 'technical analysis']",2 Days Ago
Hiring For banking Voice Process,0-1 Yrs,Tech Mahindra,07/04/2023,1-2.25 Lacs PA,Chennai,"['bpo voice process', 'tamil', 'hindi', 'telugu', 'voice', 'process', 'english', 'bpo voice']",Just Now
Hiring For Banking Voice Process,0-1 Yrs,Tech Mahindra,07/04/2023,1.5-2.25 Lacs PA,Chennai,"['bpo', 'banking voice', 'voice process', 'hindi', 'hiring', 'telugu', 'inbound', 'calling']",Just Now
Content Writer || Content Writing Manager || Senior Content Writer,0-2 Yrs,Whiz Advert,07/04/2023,Not disclosed,New Delhi,"['Digital Marketing', 'SEO', 'web development', 'marketing', 'senior', 'media', 'digital', 'management']",7 Days Ago
Content Writer - Noida Location,0-3 Yrs,Voyzapp Infotech Pvt Ltd,07/04/2023,1.5-3.5 Lacs PA,Noida(Sector-63 Noida),"['content writing', 'script writing', 'content editing', 'content development', 'creative', 'copy writing', 'editing', 'creative writing']",7 Days Ago
