Job Title,Experience,Company,Scraped data,Salary,Location,Tags,Posted date
Banquet Manager  Luxury hotel Lucknow,11-19 Yrs,Third Arm,07/04/2023,4.25-6 Lacs PA,Lucknow,"['Banquet Operations Manager', 'DHM', 'Five Star Hotel', 've', 'assistance', 'star', 'f#', 'banquet operations']",1 Day Ago
Food  & Beverage Manager Luxury hotel Lucknow,17-21 Yrs,Third Arm,07/04/2023,10-15 Lacs PA,Lucknow,"['BHMCTAN', 'F&B Manager', 'Star Hotel', 'management', 'f#', 'hotel', 'direct', 'luxury']",1 Day Ago
Hiring For Hotel and Restaurant Manager,6-11 Yrs,Wes India,07/04/2023,40-65 Lacs PA,Canada,"['Hotel Manager', 'Restaurant Management', 'restaurant operations', 'hotel management', 'shift management', 'hotel maintenance', 'teamwork', 'hiring']",8 Days Ago
Hotel Manager,8-13 Yrs,Marriott,07/04/2023,Not disclosed,Sriperumbudur,"['management', 'housekeeping', 'hotel management', 'operations', 'loss prevention', 'administration', 'delivery', 'business administration']",30+ Days Ago
Hotel Manager,8-13 Yrs,Marriott,07/04/2023,Not disclosed,Gorakhpur,"['management', 'housekeeping', 'hotel management', 'operations', 'loss prevention', 'administration', 'delivery', 'business administration']",30+ Days Ago
Front Office Assistant- Meluha The Fern Hotel,0-1 Yrs,Concept Hospitality,07/04/2023,Not disclosed,Mumbai Suburban,"['Front Office Operations', 'front office', 'guest', 'office', 'reception', 'check', 'assistance', 'office assistance']",1 Day Ago
Hotel Manager,3-5 Yrs,AM Hotel Kollection,07/04/2023,Not disclosed,"Guwahati, Lucknow","['management', 'business development', 'hotel management', 'hotel maintenance', 'operations', 'quality operations', 'hotel operations', 'ms office word']",30+ Days Ago
Hotel Revenue Manager,3-7 Yrs,Praveg Limited,07/04/2023,4.75-7.5 Lacs PA,Ahmedabad,"['Analytical Skills', 'analytical', 'technical skills', 'management', 'hotel', 'strategic planning', 'planning', 'time']",12 Days Ago
Hotel Manager,3-5 Yrs,Balaji Sai Placement,07/04/2023,Not disclosed,Hardoi,"['hotel management', 'management', 'shift management', 'restaurant management', 'hotel', 'customer complaints', 'supervision', 'restaurant']",30+ Days Ago
Restaurant Hostesses   Luxury 5 star hotel Mumbai,0-5 Yrs,Third Arm,07/04/2023,2-2.75 Lacs PA,Mumbai,"['Fluent English', 'DHM', 'B Sc Home Science', 'BHMANCT', 'Minimum 5 ft 2 inches', 'science', 'star', 'hotel']",10 Days Ago
Restaurant Manager,10-12 Yrs,Hotel Ramaya,07/04/2023,Not disclosed,Gwalior,"['restaurant management', 'management', 'restaurant', 'Restaurant Manager']",30+ Days Ago
"Senior Analyst, Applications Programming",7-11 Yrs,Analog Devices,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['risk', 'improvement', 'open source', 'program', 'continuous improvement', 'analytical', 'semiconductor', 'management']",8 Days Ago
"Associate Analyst, Applications Programming",2-6 Yrs,Analog Devices,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['analog', 'c#', 'agile', 'sql', 'git', 'visual', 'control', 'application']",8 Days Ago
"Analyst, Applications Programming",4-6 Yrs,Analog Devices,07/04/2023,Not disclosed,Gandhinagar,"['analog', 'shell scripting', 'automation', 'performance tuning', 'performance', 'semiconductor', 'application', 'rdbms']",8 Days Ago
"Staff Analyst, Applications Programming",3-8 Yrs,Analog Devices,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['analog', 'applications programming', 'sap application', 'integration', 'debugging', 'application', 'semiconductor', 'sap']",30+ Days Ago
"Senior Analyst, Applications Programming",7-11 Yrs,Analog Devices,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['performance', 'senior', 'jquery', 'applications programming', 'programming', 'visual studio', 'agile', 'sql']",30+ Days Ago
"Analyst, Applications Programming",3-7 Yrs,Analog Devices,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['analog', 'applications programming', 'jdbc', 'xml', 'program', 'erp', 'http', 'json']",30+ Days Ago
"Analyst, Applications Programming",4-8 Yrs,Analog Devices,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['application', 'program', 'analysis', 'qlikview', 'data', 'informatica', 'teradata', 'data visualization']",30+ Days Ago
"Senior Analyst, Applications Programming",3-12 Yrs,Analog Devices,07/04/2023,Not disclosed,Gandhinagar,"['programming', 'rdbms', 'applications programming', 'analog', 'data structures', 'microsoft', 'css', 'maven']",30+ Days Ago
"Analyst, Applications Programming",3-5 Yrs,Analog Devices,07/04/2023,Not disclosed,Gandhinagar,"['analysis', 'sql', 'shell scripting', 'perl', 'programming', 'ooad', 'data', 'rdbms']",30+ Days Ago
"Associate Analyst, Applications Programming",0-3 Yrs,Analog Devices,07/04/2023,Not disclosed,Gandhinagar,"['j2ee', 'troubleshooting', 'data', 'plsql', 'sql server', 'application', 'applications programming', 'ooad']",30+ Days Ago
"Associate Analyst, Applications Programming",2-6 Yrs,Analog Devices,07/04/2023,Not disclosed,Gandhinagar,"['basic', 'analog', 'agile', 'sql', 'css', 'visual', 'semiconductor', 'application']",30+ Days Ago
"Associate Analyst, Applications Programming",0-2 Yrs,Analog Devices,07/04/2023,Not disclosed,Gandhinagar,"['production', 'workflow', 'python', 'programming', 'oracle', 'sdlc', 'plsql', 'applications programming']",30+ Days Ago
Applications Programming Analyst,2-4 Yrs,Diebold,07/04/2023,Not disclosed,Hyderabad/Secunderabad,"['coding', 'technology management', 'business transformation', 'root cause analysis', 'legal', 'management', 'application', 'applications programming']",30+ Days Ago
Sap Advanced Business Application Programming Consultant,6-10 Yrs,Tata Consultancy Services (TCS),07/04/2023,Not disclosed,Hybrid - Bangalore/Bengaluru,"['sap abap', 'sap knowledge', 'application', 'sap', 'program', 'programming', 'consulting', 'abap']",2 Days Ago
"IT Software - Application Programming and Design, Maintenance",1-3 Yrs,Expro Informatics India,07/04/2023,Not disclosed,Hyderabad,"['sql', 'application development', 'sql server', 'development', 'microsoft', 'server', 'application programming', 'programming']",30+ Days Ago
"IP Validation - Experience in Embedded Application programming, C",4-9 Yrs,Foray Software,07/04/2023,5-11 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru","['IP Validation', 'python', 'shell scripting', 'application programming', 'programming', 'data validation', 'embedded hardware', 'c']",27 Days Ago
Application Programming Lead,5-8 Yrs,NR Consulting,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['shell scripting', 'scripting', 'application', 'application programming', 'system', 'programming', 'architecture', 'system programming']",17 Days Ago
IT Software Application programming & Maintenance,3-8 Yrs,CDL It,07/04/2023,Not disclosed,Vadodara,"['sql', 'python', 'software programming', 'software testing', 'application programming', 'programming', 'query', 'object oriented programming']",30+ Days Ago
IT Software - Application Programming / Maintenance,1-2 Yrs,Enexperts Consulting,07/04/2023,Not disclosed,Ghaziabad,"['application programming', 'programming', 'jquery', 'software', 'program', 'maintenance', 'application maintenance', 'application']",30+ Days Ago
Python Programming Language Application Developer,4-6 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['XML', 'HTML', 'HTTP', 'SQL', 'Python', 'development', 'processing', 'json']",18 Days Ago
Senior Client Server Software Analyst,5-8 Yrs,Total System Services (TSYS),07/04/2023,Not disclosed,Pune,"['server', 'serv', 'unix', 'software testing', 'e-business', 'oracle e-business suite', 'oracle', 'client server']",30+ Days Ago
IT Software - Client Server,7-9 Yrs,Nityo Infotech,07/04/2023,Not disclosed,"Rajahmundry, Tirupati, Anantapur, Vijayawada, Guntur, Kurnool, Chennai, Vizianagaram, Mahabubnagar/Mahaboobnagar, Nandyal, East Godavari, Kadapa/Cuddapah, Medak, Ongole, Hindupur, West Godavari, Pune, Srikakulam, Prakasam, Adoni, Chittoor, Nellore, Bangalore/Bengaluru","['software', 'microsoft windows', 'aix', 'cloud computing', 'computation', 'technology', 'lan', 'administration']",30+ Days Ago
Client Server Analyst,0-1 Yrs,Placement Madad,07/04/2023,Not disclosed,Gurgaon,"['server', 'sql', 'serv', 'bmc', 'remedy', 'client server', 'client', 'bmc remedy']",30+ Days Ago
"Technical Lead - Backend (Client Server, Databases, NoSQL, SQL)",4-6 Yrs,Mstack,07/04/2023,Not disclosed,Kochi,"['sql', 'core', 'xml', 'application development', 'nosql', 'soa', 'technical leadership', 'sql server']",30+ Days Ago
"Technical Lead - Backend (Client Server, Databases, NoSQL, SQL)",4-6 Yrs,Mstack,07/04/2023,Not disclosed,Kochi,"['client', 'technical leadership', 'program', 'enterprise applications', 'sql', 'application', 'enterprise', 'mysql']",30+ Days Ago
Full Stack Developer - Client & Server Side Architecture,3-7 Yrs,Cliqhr,07/04/2023,Not disclosed,"Hyderabad/Secunderabad, Pune","['C#', 'Java', 'AngularJS', 'html', 'application', 'full stack', 'side', 'client']",8 Days Ago
Dot Net Full Stack Developer - Senior Associate,6-9 Yrs,PwC,07/04/2023,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru","['dot', 'jquery', 'procedures', 'stored procedures', 'application', 'net fullstack', 'web technologies', '.net']",1 Day Ago
Dot Net Full Stack Developer - Associate 2 - P&T Labs,3-5 Yrs,PwC,07/04/2023,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru","['web technologies', 'development', 'p', '.net', 'web development', 'full stack', 'automation', 'middleware']",1 Day Ago
Web Developer,2-4 Yrs,Elixir 360,07/04/2023,Not disclosed,Mumbai,"['.net', 'dhtml', 'web technologies', 'asp.net', 'scripting', 'html', 'server', 'serv']",30+ Days Ago
Java Full Stack Development Application Developer,2-4 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Front end', 'PHP', 'HTML', 'Ruby', 'Python', 'development', 'analytical skills', 'process']",2 Days Ago
Microsoft Windows Server Administration Application Tech Support,4-6 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Patch management', 'VMware', 'Consulting', 'Troubleshooting', 'Virtualization', 'access', 'windows administration', 'technical']",2 Days Ago
Dot Net Full Stack Development Application Developer,4-6 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Javascript', 'Agile', 'HTML', 'JIRA', 'SQL', 'development', 'automation', 'process']",1 Day Ago
Java Full Stack Development Application Developer,4-6 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Eclipse', 'Consulting', 'Agile', 'JSON', 'Application security', 'java', 'stack', 'full stack']",1 Day Ago
Dot Net Full Stack Development Application Developer,4-6 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['TCP', 'Automation', 'Agile', 'HTTP', 'Scrum', 'enterprise', 'dot', 'development']",2 Days Ago
Dot Net Full Stack Development Application Developer,4-6 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Business process', 'Web application development', 'Front end', 'Database design', 'Debugging', 'application', 'asp.net', '.net']",2 Days Ago
Java Full Stack Development Application Developer,6-8 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Unix', 'Hibernate', 'Linux', 'SOA', 'Javascript', 'jms', 'application', 'middleware']",2 Days Ago
Java Full Stack Development Application Developer,4-6 Yrs,Accenture,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Unix', 'Hibernate', 'Linux', 'SOA', 'Javascript', 'development', 'middleware', 'rdbms']",2 Days Ago
Java Full Stack Developer - ( PAN India ) - KG,7-11 Yrs,Tech Mahindra,07/04/2023,27.5-30 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)","['Java', 'Spring', 'Microservices', 'Angular Framework', 'cloud', 'pan', 'web services', 'rest']",Just Now
Java Full Stack Developer - TATA Consultancy Services,2-7 Yrs,Tata Consultancy Services (TCS),07/04/2023,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas), Pan India","['java', 'consultancy services', 'spring boot', 'spring', 'stack', 'consultancy', 'angular', 'full stack']",1 Day Ago
Full stack developer (Angular/React + Node),2-5 Yrs,SunRise HR Solutions,07/04/2023,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru","['Angular', 'MERN', 'MEAN', 'REST', 'GraphQL', 'Developer', 'Node.js', 'JSON']",1 Day Ago
Exadata DBMA/DBA,5-10 Yrs,Oracle,07/04/2023,20-35 Lacs PA,Hyderabad/Secunderabad,"['exadata', 'database administration', 'administration', 'performance tuning', 'dataguard', 'dbms', 'performance']",4 Days Ago
HANA DBA,5-10 Yrs,NTT DATA Business Solutions Private Limited,07/04/2023,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['replication', 'High Availability', 'backup', 'restore', 'sap hana', 'availability', 'sap', 'hana db']",Just Now
SAP Purchasing (MM PO) Platform Database Administrator,8-10 Yrs,Accenture,07/04/2023,Not disclosed,Mumbai,"['Business process', 'SAP MM', 'Configuration management', 'Consulting', 'DBMS', 'administration', 'po', 'management']",2 Days Ago
Ab Initio Database Administrator,4-6 Yrs,Accenture,07/04/2023,Not disclosed,Pune,"['Performance tuning', 'Configuration management', 'Consulting', 'Ab Initio', 'DBMS', 'user management', 'analytical skill', 'control system']",2 Days Ago
Oracle DBA Administrator- -Chennai,3-6 Yrs,Essenware Private Limted,07/04/2023,Not disclosed,Chennai,"['import', 'sql', 'dbms', 'performance', 'improvement', 'sql tuning', 'user management', 'administration']",7 Days Ago
Mainframe Attunity DBA,5-8 Yrs,GSN Consulting,07/04/2023,12-20 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","['mainframe', 'attunity', 'console', 'mainframes', 'jcl', 'qlik', 'database administration', 'replication']",Just Now
DBA - Bangalore / Gurgaon,10-13 Yrs,Comviva Technology,07/04/2023,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru","['real application', 'Golden Gate', 'Troubleshooting', 'oracle', 'application', 'oracle dba', 'production support', 'production']",2 Days Ago
Database Administrator,4-6 Yrs,Black White Business Solutions Pvt Ltd,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['soc', 'aix', 'dbms', 'oracle', 'crm', 'database administration', 'microsoft windows', 'linux']",1 Day Ago
Database Administrator,3-5 Yrs,DANAHER CORPORATION,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['sql', 'information security', 'management', 'recruitment', 'security', 'shipping', 'administration', 'troubleshooting']",1 Day Ago
Database Administrator,3-5 Yrs,Gensler,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['analytics', 'troubleshooting', 'dbms', 'monitoring', 'scheduling', 'aviation', 'database administration', 'administration']",1 Day Ago
Snowflake DBA,5-8 Yrs,Integrated Personnal Services PrivateLimited.,07/04/2023,Not disclosed,"Chennai, Bangalore/Bengaluru","['database administration', 'ip', 'management', 'human resource management', 'oracle', 'hr outsourcing', 'social networking', 'dbms']",1 Day Ago
Hiring Database Administrator - Bangalore,5-8 Yrs,Transreach Talent,07/04/2023,19-22.5 Lacs PA,Bangalore/Bengaluru,"['Oracle DBA', 'database administration', 'hiring', 'dbms', 'oracle', 'postgresql', 'nosql', 'administration']",1 Day Ago
Hiring For Oracle DBA Roles For a Client in Pune,0-5 Yrs,Affluent Global Services,07/04/2023,3-6 Lacs PA,Pune,"['oracle dba', 'database administration', 'hiring', 'oracle', 'client']",8 Days Ago
Postgres Database Administrator,6-11 Yrs,Tech Mahindra,07/04/2023,Not disclosed,"Vijayawada, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","['Migration', 'Postgresql', 'Performance Tuning', 'database administration', 'administration', 'postgres database', 'performance', 'dbms']",8 Days Ago
Database Administrator,7-10 Yrs,eG Innovations,07/04/2023,Not disclosed,Chennai,"['Oracle', 'administration', 'big data', 'postgresql', 'mysql', 'data', 'mariadb', 'dbms']",1 Day Ago
Database Administrator,8-13 Yrs,Cyfuture,07/04/2023,10-20 Lacs PA,"Noida(Sector-63 Noida), Delhi / NCR","['sql mysql', 'SQL Server Integration Services', 'SSIS', 'database administration', 'SQL DBA', 'sql database', 'sql server', 'serv']",Few Hours Ago
Job Opportunity For Database Administrator (Can join within 15 Days),1-6 Yrs,Insight Direct India,07/04/2023,Not disclosed,Permanent Remote,"['mssql dba', 'administration', 'oracle', 'oracle dba', 'join', 'dbms', 'database administration', 'sql server']",1 Day Ago
Database Administrator,2-7 Yrs,Ignatiuz Software,07/04/2023,Not disclosed,Indore,"['integration', 'procedures', 'stored procedures', 'ssas', 'performance', 'ssrs', 'reporting', 'analysis']",1 Day Ago
Database Administrator,5-7 Yrs,Infosys,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Database Administration', 'software quality', 'administration', 'quality assurance', 'oracle', 'software', 'agile', 'test planning']",10 Days Ago
Vertica DBA Admin,5-10 Yrs,Infosys,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Vertica Admin', 'database administration', 'writing test cases', 'vertica dba', 'dbms', 'digital transformation', 'performance engineering', 'infrastructure services']",8 Days Ago
Sr Manager- Product (ecommerce),7-12 Yrs,Simplilearn,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Website Management', 'sr', 'web technologies', 'management', 'growth strategy', 'e-commerce', 'product management', 'production']",1 Day Ago
Ecommerce Specialist,0-3 Yrs,Appeal Guru,07/04/2023,2.25-3.5 Lacs PA,Vadodara,"['content creation', 'pay', 'marketing', 'search engine', 'pay per click', 'client relationship management', 'searching', 'optimization']",1 Day Ago
eCommerce Executive,0-1 Yrs,Seller Drive,07/04/2023,1.25-2 Lacs PA,Nagpur,"['excel', 'ms office', 'communication skills', 'interpersonal', 'interpersonal skills', 'e-commerce', 'microsoft', 'interpersonal skill']",3 Days Ago
Key Accounts Manager - Ecommerce,10-15 Yrs,Colorbar,07/04/2023,Not disclosed,New Delhi(New Friends Colony),"['Key Account Management', 'Online Sales', 'management', 'ecommerce marketing', 'sales', 'accounting', 'key accounts', 'marketing']",1 Day Ago
Ecommerce Executive,0-0 Yrs,Kriseem (opc),07/04/2023,"80,000-1.25 Lacs PA",Vrindavan,"['Digital Sales', 'sales', 'online sales', 'cataloguing', 'e-commerce', 'digital']",10 Days Ago
Manager/Sr Manager (Ecommerce Marketing),3-6 Yrs,Adler Talent Solutions,07/04/2023,15-18 Lacs PA,Mumbai (All Areas),"['ecommerce marketing', 'advertising campaigns', 'e-commerce', 'advertising', 'management', 'marketing', 'sr', 'campaigns']",1 Day Ago
Ecommerce Operations Manager (Sponsorship To UK granted),5-10 Yrs,Legend Footwear,07/04/2023,17-25 Lacs PA,Permanent Remote,"['Ecommerce Development', 'e-commerce', 'Operations Leadership', 'Operations Management', 'leadership', 'business operations', 'sponsorship', 'uk']",1 Day Ago
ecommerce executive,1-4 Yrs,Lumina Datamatics,07/04/2023,1-3 Lacs PA,"Mumbai Suburban, Thane, Mumbai (All Areas)(SEEPZ)","['e-commerce', 'retail', 'english', 'listing', 'online retail', 'excel', 'cataloguing', 'microsoft']",Just Now
Ecommerce Executive,1-2 Yrs,Celio Future Fashion,07/04/2023,Not disclosed,Mumbai,"['Ecommerce Development', 'operations', 'brand', 'development', 'management', 'branding', 'marketing', 'data']",1 Day Ago
eCommerce Key Account Sr Executive,2-4 Yrs,Nirvasa Healthcare,07/04/2023,3.5-4.25 Lacs PA,Gurgaon/Gurugram,"['e-commerce', 'personal care', 'business development', 'cataloguing', 'accounting', 'kam', 'personal', 'market place']",1 Day Ago
Ecommerce Executive,2-5 Yrs,Cantabil Retail India,07/04/2023,2.5-3 Lacs PA,New Delhi(Lawrance Road),"['order fulfillment', 'process', 'processing', 'order processing', 'e-commerce']",1 Day Ago
eCommerce Marketplace Specialist,2-5 Yrs,Benchire,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['eCommerce marketing', 'marketing', 'online marketing', 'digital marketing', 'content', 'e-commerce', 'content creation', 'digital']",2 Days Ago
Data Analyst - Online/eCommerce,3-6 Yrs,Primo Hiring,07/04/2023,Not disclosed,"Kolkata, Mumbai, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR","['data analysis', 'analysis', 'sas', 'analytics', 'data analytics', 'spss', 'e-commerce', 'data']",1 Day Ago
Job  Openings For  Ecommerce Executive | Mumbai | MNC,1-3 Yrs,Trigent Software,07/04/2023,Not disclosed,Mumbai (All Areas),"['pricing', 'listing', 'e-commerce', 'product pricing', 'product listing']",9 Days Ago
"Ecommerce Amazon Manager, Pune",3-8 Yrs,Ozori Industries,07/04/2023,4-6 Lacs PA,Pune(Katraj Kondhwa Road),"['amazon seller central', 'Ecommerce Development', 'Digital Marketing', 'ecommerce management', 'marketplace listings', 'digital', 'media', 'vendor']",3 Days Ago
Ecommerce Deputy Sales Manager Marketplace,3-6 Yrs,Brandzstorm India Marketing Pvt Ltd,07/04/2023,Not disclosed,Mumbai Suburban,"['e commerce sales', 'online marketing', 'ecommerce marketing', 'sales operations', 'trend', 'b2c sales', 'assortment planning', 'e']",5 Days Ago
Executive/ Senior Executive Ecommerce,2-4 Yrs,Livpure Smart Homes,07/04/2023,Not disclosed,"Pune, Bangalore/Bengaluru","['Cataloguing', 'Flipkart', 'e-commerce', 'Amazon', 'Product Listing', 'senior', 'panels', 'listing']",8 Days Ago
Digital Marketing Manager - FMCG/B2C eCommerce/Consumer Agency,4-7 Yrs,STARCHASE EXECUTIVE SEARCH,07/04/2023,Not disclosed,Mumbai,"['Digital Marketing', 'agency', 'seo', 'campaign management', 'consumer', 'media', 'e-commerce', 'social media']",14 Days Ago
Product Manager - Ecommerce - IIT/ Bits/ NIT,4-9 Yrs,Talent Acceleration Corridor,07/04/2023,Not disclosed,Gurgaon/Gurugram,"['IT Product Management', 'Consumer Internet', 'Online Product Management', 'consumer', 'management', 'internet', 'product management', 'e-commerce']",7 Days Ago
Product Manager - Ecommerce - IIT/ Bits/ NIT,5-10 Yrs,Talent Acceleration Corridor,07/04/2023,Not disclosed,Gurgaon/Gurugram,"['Product Strategy', 'Product Management', 'Use Cases', 'market research', 'data', 'e-commerce', 'business growth', 'online product management']",7 Days Ago
ERP Functional Consultant,4-6 Yrs,RCPC,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['ERP', 'gap analysis', 'functional', 'application configuration', 'problem solving', 'application', 'consultancy', 'analysis']",1 Day Ago
"Dy Mgr-IT(ERP,LN Functional Consultant)",8-10 Yrs,Jubilant Pharmova Limited,07/04/2023,Not disclosed,Noida,"['ipr', 'ln', 'science', 'erp', 'troubleshooting', 'computer', 'computer science', 'gcp']",8 Days Ago
Retail ERP implementation - Functional Consultant,3-6 Yrs,Impact Hr Services Pvt.ltd.,07/04/2023,Not disclosed,"Bangalore/Bengaluru, Mumbai (All Areas)","['erp implementation', 'retail projects', 'functional', 'retail', 'project', 'erp', 'consulting', 'functional consultancy']",4 Days Ago
ERP Functional Consultants at Mumbai & Bangalore For Retail ERP org,2-7 Yrs,Impact Hr Services Pvt.ltd.,07/04/2023,5-9 Lacs PA,"Bangalore/Bengaluru, Mumbai (All Areas)","['ERP Implementation', 'erp', 'functional consultancy', 'consulting', 'erp functional', 'retail', 'functional']",15 Days Ago
Erp Implementation Consultant/ERP Functional Consultant,2-5 Yrs,Edunext Technologies Pvt Ltd,07/04/2023,Not disclosed,Noida(Sector-63 Noida),"['ERP Implementation', 'software', 'functional', 'erp consulting', 'erp functional', 'erp support', 'training', 'erp training']",8 Days Ago
CRM/ ERP Operator,2-3 Yrs,Prakash Gold Industries,07/04/2023,1.75-2.5 Lacs PA,Noida,"['Good Communication skills', 'Good Knowledge of Computer', 'Data Entry Operation', 'data entry', 'data', 'crm', 'communication skills', 'operating']",6 Days Ago
ERP NAV Functional Consultant,6-11 Yrs,African Industries,07/04/2023,Not disclosed,Nigeria,"['Navision', 'erp', 'dynamics', 'dynamic', 'functional', 'consulting', 'microsoft', 'microsoft dynamics']",14 Days Ago
ERP Implementer/Functional Consultant - BFSI,2-5 Yrs,Serving Skill,07/04/2023,Not disclosed,Dubai,"['ERP', 'technical', 'itil change management', 'management', 'erp implementation', 'software testing', 'technical architecture', 'bfsi']",10 Days Ago
ERP Technical Consultant,2-5 Yrs,Upman Placements,07/04/2023,8-10 Lacs PA,Nigeria,"['Navision', 'technical', 'erp', 'nav', 'erp implementation', 'consulting', 'Nav 2018']",6 Days Ago
ERP Functional Consultant,6-9 Yrs,Tuhund,07/04/2023,Not disclosed,Bengaluru,"['project management', 'training', 'after sales support', 'marketing', 'erp', 'project', 'consulting', 'erp training']",30+ Days Ago
Java ERP Functional Consultant,5-10 Yrs,Wondersmind Infotech Solutions,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['project implementation', 'management', 'gap', 'sql', 'erp', 'project', 'erp functional', 'consulting']",30+ Days Ago
Manager ERP - Navision,8-13 Yrs,Enrich Energy,07/04/2023,Not disclosed,Pune(Koregaon Park),"['Navision', 'erp', 'dynamics', 'dynamic', 'erp navision', 'functional', 'functional support', 'edp management']",2 Days Ago
ERP Functional Consultant,3-5 Yrs,GS1 India,07/04/2023,3-4.25 Lacs PA,"New Delhi, Bangalore/Bengaluru","['Engagement Management', 'project', 'software', 'program', 'engagement', 'erp', 'integration', 'functional']",3 Days Ago
Senior Manager / Manager - HR ERP Consultant,6-9 Yrs,Huquo Consulting,07/04/2023,Not disclosed,Gurgaon/Gurugram,"['HR ERP', 'senior', 'sap pi', 'ml', 'sap', 'sap pi po', 'fusion', 'hrsd']",10 Days Ago
Senior Manager/Manager - HR ERP Consultant,6-9 Yrs,Huquo Consulting Pvt. Ltd,07/04/2023,Not disclosed,Gurgaon/Gurugram,"['ERP', 'management', 'po', 'senior management', 'sap', 'senior', 'sap cpi', 'consulting']",14 Days Ago
Business Development Executive - ERP Sales,4-9 Yrs,Rocket Flyer Technology Private Limited,07/04/2023,Not disclosed,"Mumbai, Pune, Chennai, Gurgaon/Gurugram","['Business Development', 'development', 'b2b', 'media', 'business development management', 'cold calling', 'calling', 'social media']",14 Days Ago
Jr . ERP Functional Consultant,1-6 Yrs,Softhealer Technologies,07/04/2023,Not disclosed,Rajkot,"['analysis', 'crm', 'python', 'project life cycle', 'gap', 'risk analysis', 'life cycle', 'erp functional']",30+ Days Ago
ERP Functional Consultant,6-9 Yrs,Client360,07/04/2023,Not disclosed,Permanent Remote,"['test cases', 'unit testing', 'case', 'system', 'performance testing', 'unit', 'microsoft', 'erp']",30+ Days Ago
Asst. Manager - IT : Oracle Functional ERP - Mumbai,8-12 Yrs,Allana Group,07/04/2023,20-27.5 Lacs PA,Mumbai,"['MSCA', 'WMS', 'OPM', 'Oracle Process Manufacturing', 'management', 'oracle', 'assistance', 'erp']",9 Days Ago
ERP Techo Functional executive,6-11 Yrs,Growel Softech,07/04/2023,12-18 Lacs PA,Pune,"['erp training', 'server', 'asp.net', 'sql', 'functional', 'serv', 'ssrs', 'c#']",7 Days Ago
Engineer II - Analog Layout,5-10 Yrs,Vlsi Expert,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['signalling', 'analog', 'sm', 'soc', 'analog layout', 'wireline', 'cad', 'mixed signal']",1 Day Ago
Analog Design Engr,0-2 Yrs,Vlsi Expert,07/04/2023,Not disclosed,Noida,"['front end', 'analog design', 'san', 'crm', 'chip design', 'simulation', 'design', 'front']",30+ Days Ago
VLSI/Semicon Engineer,5-10 Yrs,Infosys,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['VLSI', 'software configuration management', 'client interfacing', 'software', 'configuration management', 'client interfacing skills', 'software configuration', 'team']",2 Days Ago
